smiles,1a2
CC(=C)CNCCN,0.0
NC(Cc1nnn[nH]1)C(=O)O,0.0
Cc1ccc(CN2C(CCC2=O)C(=O)NCCCN3CCOCC3)cc1,0.0
COc1ccc(C=CC(=O)Oc2cccc(C=NNC(=O)c3cccc(F)c3)c2)cc1,0.0
COc1ccc(CCNC(=O)CN2C(=O)Oc3ccccc23)cc1OC,0.0
CCOC(=O)c1c(C)c(C)sc1NC(=O)c2cccc(c2)N3C(=O)CCC3=O,1.0
CC(=O)NC(CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)O,0.0
CN(C)C(=O)CSc1nc2ccccc2n1CC(=O)N3CCN(CC3)c4ccccc4,0.0
Brc1ccc(NC(=O)CSCC(=O)OCC(=O)c2ccc(Br)cc2)cc1,1.0
CC(C)CC(N(C(=O)Cn1nnc(n1)c2ccc(F)cc2)c3ccccc3F)C(=O)NCC4CCCO4,0.0
CCOc1ccc(cc1)c2nnc(N3CCCCC3)c4ccccc24,1.0
Cc1ccc(cc1)c2nnc(SCc3nc4ccccc4[nH]3)n2Cc5occc5,1.0
Cc1ccc(CNC(=O)Cc2csc(NC3=C4C=CC=CC4=NC(=S)N3)n2)cc1,1.0
Fc1ccc(COc2ccc(Br)cc2CNCc3ccncc3)cc1,1.0
CC(O)CNCc1ccc(cc1)c2ccccc2,1.0
COc1ncc2N=C(C(=O)N(Cc3ccc(F)cc3)c2n1)c4cccs4,1.0
COc1ccccc1C(=O)N2CCN(CC2)c3ccccn3,0.0
Fc1ccc(cc1Cl)N2CC(CC2=O)C(=O)N3CCC4(CC3)OCCO4,0.0
CC(=N)C(C#N)C(=O)COc1ncnc2ccc(Br)cc12,0.0
Nc1nc(O)c(Cc2cc(Cl)ccc2Cl)s1,1.0
CN1CCN(CC1)C2=Cc3ccccc3Oc4ccc(Cl)cc24,1.0
CC(Sc1ccccc1)C(=O)NN=C(C)C(C)(C)C,0.0
COc1ccc(C=C2CCCC3C(N(N=C23)C(=O)c4occc4)c5ccc(OC)c(OC)c5)cc1OC,0.0
COC(=O)c1ccc(cc1)C23CC2(C3)C(NP(=O)(c4ccccc4)c5ccccc5)c6ccccc6,1.0
C=CCN1C(=S)NN=C1C2=CC=CN(Cc3ccccc3)C2=O,0.0
CN1C(=O)N(CC=C)C(=O)c2c1nc(c3ccc(cc3)S(=O)(=O)O)n2C,0.0
CN(C)CCSS(=O)(=O)O,0.0
Cn1c(CN2CCCCC2)nc3cc(NC(=O)c4ccc(Cl)cc4)ccc13,0.0
CCOC(=O)C1=C(OC(=C(C#N)C1c2ccc(Cl)s2)N)c3ccccc3,1.0
Clc1ccc(cc1)C(=O)Nc2ccc(NC(=O)CN3CCCCC3)c(Cl)c2,0.0
CCOc1cc(ccc1OCC(=O)N)C2NC(=O)NC(=C2C(=O)C)c3ccccc3,0.0
COc1cccc(NC(C)C(=O)N2CC(C)OC(C)C2)c1,0.0
CCN(CC)C(=O)CSc1oc(nn1)C2CCCCC2,0.0
Cc1c2cccc(Sc3ccccc3)c2c4C[S+](c5ccccc5)c6cccc1c46,0.0
CC1=NC(=Cc2ccc(cc2)[N+](=O)[O-])C(=O)N1c3cc(Cl)ccc3C,1.0
CC1=NC(=C(O)C(=O)N1)CN2CCCCC2,0.0
Cc1ccc(Oc2cnc3ccccc3n2)cc1,1.0
CC(=O)N1CCCC2(CCN(Cc3nccs3)C2)C1,0.0
Clc1cccc(c1)C(=O)NC(=S)Nc2ccc3oc(nc3c2)c4cccnc4,0.0
Fc1ccc(cc1F)C2=Nc3cncnc3N(C4CC4)C2=O,1.0
Cc1cc(C)c(NC(=O)NC(=O)c2ccc(F)cc2)c(C)n1,0.0
CCSC(=N)Nc1ccc(cc1)C(F)(F)F,1.0
COCCn1c2CC3CN(C(=O)c4ccccc4)C(Cc5ccccc5)(C3c2cc1C(=O)N6CCCC6)C(=O)OC,0.0
Cc1ccc2nc([nH]c2c1)C(=Cc3ccc(OC(=O)c4cccs4)cc3)C#N,1.0
CCS(=O)(=O)NCC(N1CCN(CC1)c2ccccc2F)c3cccnc3,0.0
CC(C)CN1CCC2(CC1)CCN(CC2)C(=O)c3occc3,0.0
CN1C(=O)N(C)c2nc(SCCN3CCCC3)[nH]c2C1=S,0.0
CS(=O)(=O)c1ccc(CNC(=O)C2CC2C(NP(=O)(c3ccccc3)c4ccccc4)c5ccccc5)cc1,0.0
Cc1cc(C)cc(c1)n2c(C)cc(C=C(C#N)C#N)c2C,0.0
CC1=Nc2c(cnn2c3ccc(F)cc3)C(=O)N1c4ccc(C)cc4,1.0
Cc1ccsc1C=C2SC(=NC2=O)N,1.0
C1CC2(CCN1)CCN(CC2)c3cccc(c3)c4ccccc4,1.0
O=C(NC(=S)Nc1ccccc1)c2cc(nc3ccccc23)c4ccccc4,1.0
CCc1cc(C(N2CCOCC2)c3ccccc3OC)c(NC(=O)c4ccccc4)s1,0.0
c1ccc2nc(ccc2c1)c3ccncc3,1.0
CC(C)(C)c1n[nH]c2OC(=C(C#N)C(c3ccc(OC(=O)c4occc4)cc3)c12)N,1.0
COc1ccc(cc1)C(=O)N2CCC3(CCCN(C)C3)CC2,0.0
COCCN1C(=O)C(=Nc2cncnc12)c3cn(C)c4ccccc34,1.0
O=C(Cn1nnc(n1)c2ccccc2)OCc3ccccc3,1.0
[O-][N+](=O)c1ccc(C=CC(=O)Nc2cccnc2)cc1,1.0
CCn1c2ccccc2c3cc(NS(=O)(=O)c4ccccc4C)ccc13,1.0
CN(C)c1cc[n+](CC(=O)Nc2cc(ccc2Cl)C(F)(F)F)cc1,0.0
COC(=O)C1=C(N)OC2=C(OC(=CC2=O)CO)C1c3ccccc3F,0.0
Cc1oc2cc(NC(=O)Nc3ccnc4cccnc34)ccc2n1,1.0
CN1N(C(=O)C(=C1C)NC(=O)CN2CCN(CC2)c3ccccc3)c4ccccc4,0.0
Nc1c(C#N)c(NCC=C)sc1C(=O)c2ccccc2,1.0
CCc1cccc(c1)n2cc(C3CCN(CC3)C(=O)OC(C)(C)C)c(n2)C(=O)Nc4ccc(F)cc4,0.0
CCN(CC)CCNC(=O)COc1ccc(Cl)cc1Cl,1.0
CNC1C(O)C(OC2C(N)CC(N)C(OC3OC(=CCC3N)CN)C2O)OCC1(C)O,0.0
CCOC(=O)c1cnc2c(cnn2C)c1NCCC(O)C(F)(F)F,1.0
CC(C)(C)NC(=O)CN(C(=O)Cn1nnc(n1)c2ccccc2F)c3cccc4CCCCc34,0.0
CC1(C)Cc2ccccc2C(=N1)NNC(=O)c3ccncc3,1.0
COc1ccccc1OCC(=O)NN=C2SCC(=O)N2Cc3ccccc3,1.0
Cc1ccc(NC(=O)C=Cc2cccs2)c(c1)[N+](=O)[O-],1.0
Cc1oc(C[N+](C)(C)C)cc1,0.0
O=C(COc1ccc2OC3(CCCCC3)CC(=O)c2c1)N4CCOCC4,0.0
CC(=O)c1cn(CC(=O)Nc2c(C)cccc2C)c3ccccc13,0.0
CC(CN1CCCCc2nc(C)c(C)cc12)ON=C3C4CCN5N(C4C(O)C6OC36)C(=O)N(C5=O)c7ccccc7,0.0
CN(C)c1ncc2N=C(C(=O)N(Cc3cccs3)c2n1)c4ccc(F)cc4,1.0
Fc1ccc2c(c[nH]c2c1)C3=CCN(CCN4c5cccc6CCCN(c56)S4(=O)=O)CC3,1.0
Clc1ccc(Sc2cc(nc(n2)c3ccccc3)N4CCOCC4)cc1,1.0
COC(=O)N1CCC2(CCCN(C)C2)CC1,0.0
COc1cc(NC(=O)CCCC#CC)nc(OC)n1,1.0
COc1ccc(CCn2c(O)c(O)c(C(=O)c3occc3)c2c4cccs4)cc1OC,0.0
OC(=O)C=Cc1ccc(O)c(O)c1,0.0
CCc1ccc(cc1)N(C(C(=O)NC(C)(C)C)c2ccncc2)C(=O)c3csnn3,1.0
Clc1cccc(c1)c2cc(C(=O)NN3CCOCC3)c4ccccc4n2,0.0
CC(=O)Nc1ccc(NCN2C(=O)C3C4CCC(C4)C3C2=O)cc1,0.0
FCC1=CC(=O)NC(=S)N1,0.0
NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C3CC4CC3C=C4)cc1Cl,0.0
CCOc1ccc(CNC(=O)C2CCN(CC2)S(=O)(=O)N3CCCC3)cc1OC,0.0
Cc1c(nc(N)c(C#N)c1c2cccs2)c3ccccc3,1.0
CCc1ccc(cc1)C(=NNc2cc(Cl)nc(C)n2)C,1.0
CC(C)CCn1c(N)c(C(=O)NCc2cccs2)c3nc4ccccc4nc13,1.0
NC(CN1C=CC(=O)C(=C1)O)C(=O)O,0.0
CCOc1cc(C=C2C(=NN(C2=O)c3ccccc3)C)ccc1OC(=O)c4cccs4,1.0
[O-][N+](=O)c1oc(C=NN2CC(CN3CCOCC3)OC2=O)cc1,0.0
C1CC1NC2=NN=C(CS2)c3ccccc3,1.0
CSc1nncc(n1)c2ccc(F)c(F)c2,1.0
Brc1ccc(cc1)C(=O)OC(CCc2ccccc2)C3=CCCCC3=O,0.0
COc1ccc2cc3cc(oc3nc2c1)C(=O)NCc4ccccn4,1.0
OCc1oc(cc1)c2nn(Cc3ccccc3)c4ccccc24,1.0
CC(C)NC(=O)N1CCC2(CCCN(C2)C(=O)c3cccn3C)C1,0.0
CCC1C(Cc2cncn2C)COC1=O,0.0
OC(=O)C1CCN(CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],0.0
COC(CC1=NNC(=S)N1c2ccc(Cl)cc2)OC,0.0
