smiles,herg
OC(Cn1ccnc1)(P(=O)(O)O)P(=O)(O)O,0.0
COc1ccc2c(c[n+](C)c3c2ccc4cc5OCOc5cc34)c1OC,0.0
Clc1ccc2Sc3ccccc3N(C(=O)CCN4CCN5CCCC5C4)c2c1,1.0
CN1C(=O)N(CC=C)C(=O)c2c1nc(c3ccc(cc3)S(=O)(=O)O)n2C,0.0
Oc1ccc(Cl)cc1,0.0
CC1=CC(=O)Oc2cc(OCC#C)ccc12,0.0
OC(C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]23CCCC3)(c4ccccc4)c5ccccc5,0.0
CC(N)C12CC3CC(CC(C3)C1)C2,0.0
CCSC(=N)Nc1ccc(cc1)C(F)(F)F,0.0
CCN1CCN(C(=O)NC(C(=O)NC2C3SCC(=C(N3C2=O)C(=O)[O-])CSc4nnnn4C)c5ccc(O)cc5)C(=O)C1=O,0.0
CCc1cccc2c3CCO[C@@](CC)(CC(=O)O)c3[nH]c12,0.0
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@H](CC[C@]34C)OS(=O)(=O)[O-])[C@@H]1CCC2=O,0.0
CCCCC#Cc1nc(N)c2ncn([C@@H]3O[C@@H]([C@@H](O)[C@H]3O)C(=O)NCC)c2n1,0.0
COc1cc(\C=C\C(=O)N2CCN(CC(=O)N3CCCC3)CC2)cc(OC)c1OC,0.0
CCCCC(CC)COC(=O)c1ccccc1O,0.0
CCC(=O)N(C1CCN(CCc2ccccc2)CC1)c3ccccc3,1.0
CC(Cc1ccccc1)N(C)C,0.0
CNC1C(O)C(OC2C(N)CC(N)C(OC3OC(=CCC3N)CN)C2O)OCC1(C)O,0.0
CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC,0.0
CC(=O)Nc1ncc(s1)[N+](=O)[O-],0.0
Fc1ccc2c(c[nH]c2c1)C3=CCN(CCN4c5cccc6CCCN(c56)S4(=O)=O)CC3,1.0
C[C@]12[C@H]3CC[C@@H](O3)[C@]1(C)C(=O)OC2=O,0.0
NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C3CC4CC3C=C4)cc1Cl,0.0
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)nc(C)c1Br,0.0
OCc1oc(cc1)c2nn(Cc3ccccc3)c4ccccc24,0.0
CCCC(=O)OC(C(Cl)(Cl)Cl)P(=O)(OC)OC,0.0
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,1.0
COc1ccc2C3CC[C@]4(C)[C@H](CCC4C3CCc2c1)NCCCCCCN5C(=O)C=CC5=O,0.0
Cc1ncc([N+](=O)[O-])n1C[C@H](O)CCl,0.0
OC(=O)C1CN(CCCP(=O)(O)O)CCN1,0.0
Cc1cccc(c1)C(=O)NCN2CCN(CC2)c3ccccc3C#N,0.0
CN1C(CC2=C\C(=N\NC(=O)N)\C(=O)C=C12)S(=O)(=O)[O-],0.0
CC(=O)Nc1ccc(O)cc1,0.0
CC(=O)NNC(=O)N1Cc2ccccc2Oc3ccc(Cl)cc13,0.0
COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3ccccc3,0.0
OC\C=C\1/OC2CC(=O)N2C1C(=O)O,0.0
CCCCCCCCCCCCCCCCCCOCC(O)CO,0.0
Oc1cc(cc2cc(cc(N=Nc3ccc(Nc4ccccc4)c5c(cccc35)S(=O)(=O)[O-])c12)S(=O)(=O)[O-])S(=O)(=O)[O-],0.0
CCOC(=O)C12CC1\C(=N\O)\c3ccccc3O2,0.0
CNC(C)[C@@H](O)c1ccc(O)cc1,0.0
CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(cc3)C(=O)O)ccc12,0.0
CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2,1.0
CCN1C=C(C(=O)O)C(=O)c2cc(F)c(N3CCN[C@@H](C)C3)c(F)c12,0.0
[O-][N+](=O)c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,1.0
CN(C)CCOC(=O)COc1ccc(Cl)cc1,0.0
C[C@@]12CC(O)C3C(CCC4=CC(=O)C=C[C@]34C)C1CC[C@]2(O)C(=O)CO,0.0
NCCS(=O)(=O)O,0.0
CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)CC(=O)NO,0.0
COc1cc2N3C4[C@@H]5C(CC3=O)OCC=C6CN7CC[C@]4([C@H]7C[C@@H]56)c2cc1OC,0.0
NC(=O)CCCCC1CCSS1,0.0
OCC1O[C@@H](OC2c3cccc(O)c3C(=O)c4c(O)cc(CO)cc24)C(O)C(O)C1O,0.0
