smiles,logp
ClCS(=O)(=O)c1ccccc1,1.24
CCNC(=O)c1ccco1,0.61
CC1(C)CCC=N1=O,-1.1
COc1cccc(OC)c1c2nc3cnccc3[nH]2,1.66
CNc1cc(Cc2cnc(N)nc2N)cc(N(C)C(=O)C)c1C,0.53
CCC(C)C(NC(=O)C(C)N)C(=O)O,-2.6
CS(=O)(=O)F,0.06
CN(C)c1ccccc1C,2.85
CCCc1ccc(OC(=O)N(C)C)cc1,3.15
CC(=O)c1cccc(Nc2ccccc2C(=O)O)c1,4.31
COC(=O)C(C)NP(=O)(OCC1OC(C=C1)n2cc(C)c(=O)[nH]c2=O)Oc3ccc(I)cc3,1.93
ClC=CCl,1.86
ON=C1C=CC(=O)C=C1,1.08
CC1(CCCCC1)NC(=O)Nc2ccccc2,3.6
CC(C)C1OC(=O)c2ccccc12,2.1
CN(CC(O)CO)C(=O)c1c(I)c(NC(=O)C)c(I)c(C(=O)N(C)CC(O)CO)c1I,-2.17
CN(C)C(=O)Oc1ccccc1C,1.86
CCOc1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1,3.86
C=CCN(CC=C)C(=O)COC(=O)c1ccccc1,2.34
CC(C)CO,0.76
CC(C)(C)NCC(O)COc1ccccc1C#N,1.91
CNC(=O)CCc1c[nH]c2ccccc12,1.23
CCC1C(=O)NC(=O)N(C)C1=O,0.15
S=C=NCCCCc1cccnc1,2.7
CC(=O)Nc1cc(OCC(=O)O)ccc1Cl,0.75
Oc1ccc(Cl)cc1,2.39
CCOC(=O)C1=C(C)NC(=C(C1c2cccc3OCOc32)C(=O)OCC)C,3.92
Cc1cc(C)c2ccccc2c1,4.42
CCCCOC(=O)c1ccccc1C(=O)OCCCC,4.72
COC12C3C(CN2C4=C(C1COC(=O)N)C(=O)C(=C(C)C4=O)N)N3C(=O)OCc5ccccc5,1.34
O=c1cc[nH]c2ccccc12,0.58
OC(CF)Cn1cnc(n1)N(=O)=O,-0.59
CC1=Nc2cc(Cl)c(cc2S(=O)(=O)N1)S(=O)(=O)N,-0.05
CC1(C)Oc2ccccc2C=C1,3.31
COc1ccc(NC=O)cc1,1.03
COc1nc(nc(n1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,3.64
Brc1cc(Br)c2ccc3cccc4ccc1c2c43,6.85
