smiles,mmp
OC(Cn1ccnc1)(P(=O)(O)O)P(=O)(O)O,0.0
CCCCCCCCCCCCCCCC(=O)OC\C=C(/C)\C=C\C=C(/C)\C=CC1=C(C)CCCC1(C)C,0.0
ClC=CCl,0.0
Cc1ccc(cc1)C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2,0.0
O=C(Nc1ccccc1SSc2ccccc2NC(=O)c3ccccc3)c4ccccc4,1.0
C[N+]1(C)[C@H]2CC[C@@H]1CC(C2)OC(=O)C(CO)c3ccccc3,0.0
CC(C)CO,0.0
CCCCOC(=O)c1ccccc1C(=O)OCCCC,0.0
C=CC1CO1,0.0
CCCCCCCC\C=C/CCCCCCCC(=O)OC(CO)CO,0.0
CC1=CC(=O)Oc2cc(OCC#C)ccc12,0.0
N#Cc1c2ccccc2cc3ccccc13,1.0
NC(=S)NNC(=S)N,0.0
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@H](CC[C@]34C)OS(=O)(=O)[O-])[C@@H]1CCC2=O,0.0
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,1.0
ClC(=C(Cl)Cl)Cl,0.0
Cc1ccc2ccccc2n1,0.0
c1ccc2[nH]ccc2c1,0.0
CCCCCC\C=C\C=O,0.0
[O-]C(=O)C=C,0.0
CCC(=O)N(C1CCN(CCc2ccccc2)CC1)c3ccccc3,0.0
BrCBr,0.0
CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC,0.0
CCc1cc(OC)c(C[C@H](C)N)cc1OC,0.0
Oc1ccc(cc1)N=Nc2ccccc2,1.0
OCc1cc(O)c2C(=O)c3c(O)cccc3C(=O)c2c1,1.0
CCCCN1C(=O)c2ccccc2C1=O,0.0
Oc1ccc(Cl)c(Cl)c1,1.0
CC(=C)C(=O)OCC1CO1,0.0
OC(=O)C=Cc1ccc(O)c(O)c1,0.0
NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C3CC4CC3C=C4)cc1Cl,0.0
Oc1ccc(Cc2ccc(O)cc2)cc1,1.0
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)nc(C)c1Br,0.0
CC(=CC(=O)C)C,0.0
CN1CCC(=C2c3ccccc3CC(=O)c4sccc24)CC1,0.0
[O-]C(=O)C(Cl)(Cl)Cl,0.0
ClCCl,0.0
CC(C)Cc1nccs1,0.0
NCCCOCCOCCOCCCN,0.0
C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O,0.0
CC1(C)[C@H](CC[C@@]2(C)[C@H]1CC[C@]3(C)[C@@H]2C(=O)C=C4[C@@H]5C[C@](C)(CC[C@]5(C)CC[C@@]34C)C(=O)O)O[C@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6O[C@@H]7O[C@@H]([C@@H](O)[C@H](O)[C@H]7O)C(=O)O)C(=O)O,0.0
[O-]C(=O)Cc1cccc2ccccc12,0.0
OCC(O)c1ccccc1,0.0
COc1ccc(CCO)cc1,0.0
CC1=CC(=O)NO1,0.0
O[C@H]([C@H](O)[C@@H](O)C(=O)O)[C@H](O)C(=O)O,0.0
Nc1ccc(Oc2ccc(Cl)cc2)cc1,0.0
CCC(=O)c1ccccc1,0.0
CC(=O)Nc1ccc(O)cc1,0.0
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl,1.0
CC1CC(=O)O1,0.0
COC(=O)c1cc(Cl)cc(Cl)c1,0.0
COc1cc(NC(=O)CC(=O)C)c(OC)cc1Cl,0.0
CC(C)[C@@H](Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,1.0
CCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)N(=O)=O)C(=O)OC)C,1.0
Clc1ccc(C(Cn2ccnc2)OCc3c(Cl)cccc3Cl)c(Cl)c1,0.0
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C)\C=C/c3scnc3C)\c4csc(N)n4,0.0
Cc1ncc(CO)c(CO)c1O,0.0
CC(O)(P(=O)(O)[O-])P(=O)(O)[O-],0.0
CCCCCCCCCCCCCCCCCCOCC(O)CO,0.0
[O-]Cl=O,0.0
CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(cc3)C(=O)O)ccc12,1.0
CC[N+](CC)(CC)CCC(O)(C1CCCCC1)c2ccccc2,0.0
N[C@H]1C(O)O[C@H](CO)[C@H](O)[C@@H]1O,0.0
OC1CCCCCCCCCCC1,1.0
CN(C)CCOC(=O)COc1ccc(Cl)cc1,0.0
CC1OC(=O)C(=C1C)O,0.0
O=C=Nc1ccc(Cc2ccc(cc2)N=C=O)cc1,0.0
CCC(=O)OC\C=C\c1ccccc1,0.0
CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)CC(=O)NO,0.0
NC1=NC(=O)N(C=N1)[C@H]2C[C@H](O)[C@@H](CO)O2,0.0
NC(=O)CCCCC1CCSS1,0.0
C\C=C(\C)/C#N,0.0
COc1ccc2nc([nH]c2c1)S(=O)Cc3ncc(C)c(OC)c3C,0.0
C1CS1,0.0
CCN(CC)CCc1onc(n1)c2ccccc2,0.0
CN1C(=O)N(C)c2nc(Br)[nH]c2C1=O,0.0
Cc1c(N)cccc1N,1.0
O=C1CCCCC1CN2CCCCC2,0.0
CCC(=O)C=Cc1ccc(OC)cc1,0.0
Cc1cc(N)c(cc1Cl)S(=O)(=O)O,0.0
CCC(C)(O)CCC=C(C)C,0.0
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N(CC(=O)O)C2Cc3ccccc3C2,0.0
C[n+]1c(cc(c2ccccc2)n1C)c3ccccc3,0.0
CC1(C)OC[C@@H]2O[C@]3(OC(C)(C)O[C@H]3[C@@H]2O1)C(=O)O,0.0
CN(C)N=Nc1ccccc1,0.0
Cc1cc(C)c(C)cc1C,0.0
CC(C)(C)N1N=CC(=C(Cl)C1=O)SCc2ccc(cc2)C(C)(C)C,1.0
OCCCCCCO,0.0
CC(=C)C#N,0.0
CCOc1nc(ns1)C(Cl)(Cl)Cl,0.0
Cc1ccc2cc(C)ccc2c1,0.0
Cc1c(Cl)cccc1Nc2ncccc2C(=O)O,1.0
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,1.0
OC(=O)C(CC1=CC(=O)Nc2ccccc12)NC(=O)c3ccc(Cl)cc3,0.0
CCOC(=O)CCC(=O)OCC,0.0
CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1N(=O)=O,1.0
CO[C@@H]1[C@@H](CC[C@]2(CO2)[C@H]1[C@@]3(C)O[C@@H]3CC=C(C)C)OC(=O)\C=C\C=C\C=C\C=C\C(=O)O,0.0
COc1ccc(C=CC(=O)OCCC(C)C)cc1,0.0
OC(=O)[C@H](OC(=O)c1ccccc1)[C@@H](OC(=O)c2ccccc2)C(=O)O,0.0
CCC(=O)OC(C)(C)C1CCC(=CC1)C,0.0
CN1C(=O)N(Cc2occc2)c3[nH]c(C)nc3C1=O,0.0
CC(Cc1ccccc1)NC=O,0.0
C=CCN1C(=O)N(CC=C)C(=O)N(CC=C)C1=O,0.0
Oc1c(Cl)ccc(Cl)c1Cl,1.0
CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,0.0
Clc1ccc2NC(=O)CN=C(c3ccccc3)c2c1,0.0
CC(COCCO)OCCO,0.0
CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,0.0
C[C@H]1C[C@@H]2[C@H](CC[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)C)[C@@]4(C)CCC(=O)C=C14,0.0
CC=CC=CCOC(=O)C(C)C,0.0
Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,1.0
CCCCN(CCCC)N=O,0.0
CCCCC(CC)COC(=O)C=C,0.0
[O-]C(=O)C1=C(N=Nc2ccc(cc2)S(=O)(=O)[O-])C(=O)N(N1)c3ccc(cc3)S(=O)(=O)[O-],0.0
CC(C)S,0.0
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(=O)(=O)N,0.0
CC(=CCC\C(=C\COC(=O)C)\C)C,0.0
COC(=O)CC(C(=O)C)C(=O)OC,0.0
CCCCCCCCCCCCN(C)C,0.0
CN1N(C(=O)C(=C1C)NC(=O)c2cccnc2)c3ccccc3,0.0
C[N+]1(C)CCCC(C1)OC(=O)C(O)(c2ccccc2)c3ccccc3,0.0
CC(C)c1nnc(C)n1C2C[C@@H]3CC[C@H](C2)N3CC[C@H](NC(=O)C4CCC(F)(F)CC4)c5ccccc5,0.0
CCN(CC)CCO,0.0
CCCCCCCCCCCCCCCCCCOP(=O)([O-])OC1CC[N+](C)(C)CC1,0.0
Clc1ccc(\C=N/NC(=N)N\N=C\c2ccc(Cl)cc2)cc1,0.0
O=C1Oc2ccccc2C=C1,0.0
Oc1ccccc1c2ccccc2,1.0
CC1CCC(=O)C1=O,0.0
CNC(=O)OCc1cccc(COC(=O)NC)n1,0.0
OCC(CO)(CO)CO,0.0
CCC(Cl)N(=O)=O,0.0
CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3cn(C)c4cccc(C2=C1)c34,0.0
CCC(=O)OCCC(C)CCC=C(C)C,0.0
COc1ccc(cc1)C(CN(C)C)C2(O)CCCCC2,0.0
ClCC#CCOC(=O)Nc1cccc(Cl)c1,1.0
CC(=CCC1=C(O)C(=O)c2ccccc2C1=O)C,1.0
[O-]C(=O)C1=C(C[n+]2ccccc2)CS[C@@H]3[C@H](NC(=O)Cc4cccs4)C(=O)N13,0.0
Nc1cc(Cl)c(N)c(Cl)c1,0.0
CSC1=N[C@](C)(C(=O)N1Nc2ccccc2)c3ccccc3,1.0
O=C(NCCON(=O)=O)c1cccnc1,0.0
NC(=O)c1cccc(c1)N(=O)=O,0.0
CC(C)C1CCC(C)CC1O,0.0
CCCCCCCCCC=O,0.0
CCCCCCBr,0.0
CCCCC\C=C/C\C=C/C\C=C/CCCCC(=O)O,0.0
O=C1CCCc2c1cc3ccc4cccc5ccc2c3c45,1.0
