smiles,rlm
CN(C(c1ccccc1C)c2ncccc2C)C(=O)C3CCN(CCOc4ccc(Nc5ccc(Oc6ccc(cc6)C(=N)N)cc5)cc4Cl)CC3,0.0
Cc1cc(SCc2sc(nc2C)c3cccc4ccccc34)ccc1OCC(=O)O,0.0
CC1=C(C(N=C(Nc2oc3cc(F)ccc3n2)N1)c4cccc(c4)C(=O)N)C(=O)Nc5cc(ccn5)C(=O)O,0.0
COc1cccc(CN2N=Cc3c(C2=O)n(C)c4cc(SC)sc34)c1F,1.0
Cc1ccccc1C(=O)N2CCc3cc(ccc23)c4nc(NC(=O)CC5CCN(CC5)C(=O)OC(C)(C)C)sc4C,1.0
COCCNC(=O)CCCCCNC(=O)COc1ccc(C=CC2=[N]3C(=Cc4ccc(c5ccc[nH]5)n4[B]3(F)F)C=C2)cc1,1.0
[O-][S+](=O)(Nc1ccccc1)c2ccc(NCc3cccc(c3Cl)C(F)(F)F)cc2,0.0
Cc1ccc(C)n1c2ccc(cc2)C(=O)O,0.0
Cc1cc(nn1C(C)(C)C)C(=O)NN[S+](=O)([O-])c2ccc(cc2)C(F)(F)F,1.0
COc1cccc(c1)c2oc3ccc(NC(=O)c4ccc(Br)c(c4)C#N)cc3n2,0.0
Cc1ccccc1C(=O)N2CCc3cc(Br)ccc23,1.0
C[C@H](NCc1ccc2c(c1)nc(NC(=O)c3ccc(s3)c4c[nH]nc4C)n2CC(C)(C)O)C(C)(C)C,0.0
CC(C)n1nc(C)c(c1C)c2cccc3c(CCCOc4cc(C)c(Cl)c(C)c4)c(C)n(CCC(=O)O)c23,0.0
Cc1onc(C)c1c2ccc3nc(nc(NCc4cccc(Cl)c4)c3c2)N5CCc6c(C5)cnn6C,1.0
CNc1oc(c2cccc3ccccc23)c(n1)C#N,1.0
Cc1cc(OCCCc2c(C)n(Cc3ccc(cn3)C(=O)O)c4c(c(Cl)ccc24)c5c(C)nn(C)c5C)cc(C)c1Cl,0.0
CCCCN(CCCNC(=O)CCCN(C)C(=O)c1oc2ccccc2c1)Cc3ccccc3,1.0
[O-][S+](=O)(NCc1nc2cccnc2n1Cc3ccccc3Cl)c4ccc(F)c(Cl)c4,1.0
Cc1ccc(cc1Cl)c2nn(cc2Cc3ccc(cc3)[S+](=O)(N)[O-])c4nc(cs4)C(=O)O,0.0
CNC(=O)C1CSCCN1[S+](=O)([O-])c2ccc(NC(=O)c3ccc(OC)c(I)c3)cc2,1.0
FC(F)(F)Oc1ccc2Oc3ccc(cc3C(=O)Nc2c1)c4ccncc4,1.0
