smiles,solub
Cc1cc(SCc2sc(nc2C)c3cccc4ccccc34)ccc1OCC(=O)O,1.0
COc1cccc(CN2N=Cc3c(C2=O)n(C)c4cc(SC)sc34)c1F,0.0
Cc1ccccc1C(=O)N2CCc3cc(ccc23)c4nc(NC(=O)CC5CCN(CC5)C(=O)OC(C)(C)C)sc4C,0.0
Cc1cc(OCCCc2c([nH]c3c(cccc23)c4cccnc4C)C(=O)Nc5cccc(c5)C(=O)NS(=O)(=O)c6ccc(cc6)[N+](=O)[O-])cc(C)c1Cl,0.0
Cc1ccc(C)n1c2ccc(cc2)C(=O)O,1.0
COc1cccc(c1)c2oc3ccc(NC(=O)c4ccc(Br)c(c4)C#N)cc3n2,0.0
COc1ccccc1OC(=O)N2C(=O)Oc3cc(ccc23)C(=O)C,1.0
Cc1ccccc1C(=O)N2CCc3cc(Br)ccc23,1.0
C[C@H](NCc1ccc2c(c1)nc(NC(=O)c3ccc(s3)c4c[nH]nc4C)n2CC(C)(C)O)C(C)(C)C,1.0
CC(C(=O)O)C(=O)O,0.0
Fc1ccc(cc1)N2C=CC(=O)C(=N2)C(=O)Nc3ccc(cc3)S(=O)(=O)Nc4nccs4,0.0
FC(F)(F)Oc1ccc(cc1)S(=O)(=O)Nc2cccc(c2)C(F)(F)F,0.0
CC(C)n1nc(C)c(c1C)c2cccc3c(CCCOc4cc(C)c(Cl)c(C)c4)c(C)n(CCC(=O)O)c23,1.0
CNc1oc(c2cccc3ccccc23)c(n1)C#N,0.0
Cc1cc(OCCCc2c(C)n(Cc3ccc(cn3)C(=O)O)c4c(c(Cl)ccc24)c5c(C)nn(C)c5C)cc(C)c1Cl,1.0
Cc1ccccc1C(=O)N2CCc3cc(ccc23)c4nc(NC(=O)Cc5ccc(OCCOCCOCCNC(=O)c6ccc(C(=O)O)c(c6)C7=C8C=CC(=O)C=C8Oc9cc(O)ccc79)cc5)sc4C,0.0
CCCCN(CCCNC(=O)CCCN(C)C(=O)c1oc2ccccc2c1)Cc3ccccc3,1.0
CNS(=O)(=O)c1ccc(NC(=O)c2cc(nc3ccccc23)c4ccc(C)c(C)c4)cc1,0.0
FC(F)(F)Oc1ccc2Oc3ccc(cc3C(=O)Nc2c1)c4ccncc4,0.0
