smile,logp
Cc1ccc(O)c(C)c1,2.30
NS(=O)(=O)c1ccc(cc1)S(=O)(=O)CCO,-0.85
CC(=O)Nc1c(Cl)cccc1Cl,1.32
CC(=O)NC(CCCN(Cc1ccccc1)C(=O)N(CCCl)N=O)C(=O)NCc2ccccc2,1.92
OC(=O)Cc1ccc(OCC=C)c(Cl)c1,2.47
CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12,4.68
COC12C3C(CN2C4=C(C1COC(=O)N)C(=O)C(=C(C)C4=O)N)N3COC(=O)c5ccccc5,1.26
CN(C)CCn1nnnc1SCC2=C(N3C(SC2)C(NC(=O)Cc4csc(N)n4)C3=O)C(=O)OCOC(=O)C(C)(C)C,1.57
Oc1ccc(cc1)C(=O)c2ccccc2,3.07
Cc1n[nH]c(C(=O)NC2C3CC4CC(C3)CC2C4)c1N(=O)=O,2.83
CC1CCC(C)N1C(=O)Nc2ccccc2,2.33
CC(=O)NNC(=O)Nc1ccccc1,0.25
NC(=O)c1ccc(cc1)S(=O)(=O)N,-0.79
OC1C(O)C2CCC1C2,0.40
COc1ccc(OC)c(N)c1,1.20
OCCCCCc1ccccn1,1.28
Cc1nc(N(=O)=O)c(Br)[nH]1,1.14
CCCCCOC(=O)COc1cc(N2C(=O)C3=C(CCCC3)C2=O)c(F)cc1Cl,4.99
CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,3.47
OCC1OC(C(O)C1O)n2ccnc2N(=O)=O,-1.15
C=CCC#N,0.40
O=N(=O)c1ccc2[nH]ncc2c1,2.03
Clc1c(Cl)c(Cl)c2[nH]nnc2c1Cl,4.17
Ic1cccc(NC(=O)Cc2ccccc2)c1,3.91
NS(=O)(=O)c1nn2c(=Nc3cccc(Cl)c3)snc2s1,3.50
OC(=O)CCCCCCc1ccccc1,3.63
CC(C)(C)c1ccc(cc1)C(=O)O,3.85
CCCOC(=O)c1ccoc1,2.36
COc1cccc2cccnc12,1.84
CCCS(=O)(=O)c1cc(OC)c(OC)c(OC)c1,1.56
CC(C)(O)C1CCC2(C)CCCC(=C)C2C1,4.64
FC(F)(F)c1ccccc1N=C2NCCN2,1.40
CC(O)C(F)(F)F,0.71
Nc1cccc(Br)c1,2.10
Nc1nc(O)nc(Nc2ccccc2)n1,1.90
Cc1cc(Cl)c(N=C2NCCN2)c(Cl)c1,1.68
CCC(C)C(NC(=O)C(N)CC(C)C)C(=O)NC(C(C)O)C(=O)O,-2.14
OC(=O)c1c(F)cccc1F,1.59
OC(CCl)Cn1cnc(n1)N(=O)=O,0.05
CCCCOC(=O)C(N)Cc1ccc(O)cc1,2.10
Oc1cccc(F)c1,1.93
CNC(=O)N(C)C(=O)Nc1cc(ccc1F)c2ccccc2,3.78
NC(Cc1ccc(Cl)cc1)C(=O)O,-0.47
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,2.52
CCc1ssc(=O)c1c2ccccc2,3.15
CCOC(=O)c1cc2ccccc2[nH]1,3.18
CN(C)C(=O)Nc1cccc(c1)N(=O)=O,1.47
CC(C)C(NC(=O)C(NC(=O)C)C(C)O)C(=O)N,-1.25
CC(C)NNC(=O)C(C)Oc1ccccc1,1.39
CC(=S)Nc1ccccc1,1.71
