smile,solub
CC(C(=O)c1ccc(C)cc1)[n+]2cccc(c2)C(=O)N,1
C\C(=N/NC(=O)c1cccnc1)\c2oc3ccccc3c2,1
C\C(=N/NC(=O)c1ccccc1F)\c2ccccn2,1
Cc1nn2cnnc2c(C)c1Cc3c(F)cccc3Cl,1
Cn1cccc1\C=N\NC(=S)N,1
Cc1ccccc1\C=N\NC(=O)c2ccc(cc2)n3cnnn3,0
CC1CCCN(CC(=O)c2c(C)[nH]c3cc(C)ccc23)C1,1
CCN(CC)c1ccc(cc1)C(=O)OCC(=O)N2CCCC2,1
Nc1nc(NCc2ccccc2)n(n1)c3ccccc3,1
Cc1cc(Cl)ccc1NC(=O)c2ccc3OCOc3c2,0
COc1cc(\C=N\Nc2ccccn2)ccc1OCC(C)C,0
Cc1cccc(c1)C(=O)OCC(=O)NCC2COc3ccccc3O2,0
Fc1ccc(OCC(=O)N2CCCCCCC2)cc1,1
Cc1cccc(NC(=O)C2=CC(=O)c3ccccc3O2)c1,0
CCOc1ncccc1C(=O)N2CCN(CC2)C(=O)c3ccccc3,1
COC(=O)c1cccc(c1)n2c(CCC(=O)O)ccc2c3cccs3,1
O=C(CSC1=NNC(=O)N1c2cccnc2)c3ccc(cc3)C#N,1
COc1ccc(NC(=O)c2cccnc2)cc1,1
CCN1CCN(CCc2nc3cc(ccc3n2C)N(=O)=O)CC1,1
COc1ccc(cc1)S(=O)(=O)N2CCN(CC(=O)NC(Cc3ccccc3)C(=O)C)CC2,1
COc1ccccc1OCC(O)CN2CCN(CC2)C(=O)c3ccccc3,1
Clc1ccc(c2ccccc12)S(=O)(=O)Nc3ccccn3,0
CCN(CC(=O)NCCC1=CCCCC1)S(=O)(=O)c2ccccc2,1
CC(C)C(=O)NC1=C(C(=O)c2ccccc2N1C)c3ccccc3,0
CC(=O)c1ccc(NC(=S)N2CCCC2)cc1,1
Clc1cccc(NC(=O)CN2CCCCCCC2)c1Cl,0
COc1ccc(\C=N\NC(=S)NCC2CCCO2)cc1,1
Fc1ccc(Nc2nnns2)cc1,1
Cc1cccc(c1)S(=O)(=O)NC2CCCCCCC2,1
Nc1nc(SCC(=O)Nc2cccc(c2)N(=O)=O)n[nH]1,1
NCC(=O)CCC(=O)O,1
Oc1cccc(c1)C(=O)OCC(=O)N(CCc2ccccc2)Cc3ccccc3,0
Cc1nccn1CC2CCc3c(C2=O)c4ccccc4n3C,1
Cc1ccc2c(C(=O)CNc3nncs3)c(C)[nH]c2c1,1
N1N=C(N=C2C(=C1c3ccncc3)C=Cc4ccccc24)c5ccccc5,0
O=C(NN=C1c2ccccc2c3ccccc13)c4ccccc4,0
CCCN(CCC)CC(C)(C)NS(=O)(=O)c1ccc(Cl)cc1,1
O=C(NC(=S)N1CCCC1)c2ccccc2,1
Cc1nc(SCC(=O)N)c(C#N)c(C)c1C,0
Clc1ccc(CC(=O)N2CCOCC2)cc1,1
Cc1nn(c(Cl)c1\C=N\NC2=NC(=O)C=NN2)c3ccccc3,0
O=C(Nc1cccc(c1)c2cn3CCSc3n2)c4ccc5OCOc5c4,1
O=C(N1C(=O)C(Oc2ccccc12)c3ccccc3)c4ccccc4,0
CC1=Nc2ccccc2C(=O)N1c3cccc(c3)C(F)(F)F,1
COc1ccc(Nc2nc(N)c(c(n2)N3CCCC3)N(=O)=O)cc1,1
CC1CCCN(CC(=O)N2c3ccccc3Sc4ccccc24)C1,1
Cc1cccc(C)c1OCC(O)CN2CCCCC2,1
O=C(Nc1nccs1)c2cccc3ccccc23,0
Cc1nc(c(C(=O)OCc2ccccc2F)n1C)N(=O)=O,1
CCC(CO)NC=C1C(=O)CC(CC1=O)c2ccccc2,1
COc1ccccc1C(=O)NCCN2CCN(CC2)c3ccccc3,1
N\C(=N/OC(=O)c1ccc(cc1)N(=O)=O)\c2ccc(Br)cc2,0
CN(CC(=O)Nc1cccc(C)c1C)C(=O)C2CC2,1
COc1ccc(C(=O)OCC(=O)N2CCCC2=O)c(OC)c1,1
COP(=O)(OC)\C(=N\Nc1ccc(cc1)N(=O)=O)\C=O,1
CCN1C(=CC(=CC1=O)O)C,1
Fc1ccc(cc1)C(=O)NCCCCc2ccccc2,0
[O-][N+]1=C(C(=O)Nc2ccccc12)c3ccccc3,1
O=C(OC1=COC(=CC1=O)CSc2ncccn2)\C=C\c3ccccc3,1
COc1cc(Cl)c(C)cc1NC(=O)CC2CCCC2,0
CC1CCCCC1NC(=O)Cn2cnc3N(C)C(=O)N(C)C(=O)c23,1
Clc1ccc(OCCCC(=O)NCc2ccncc2)c(Cl)c1,1
CN(C)c1ccc(\C=N/NC(=O)c2cccc3cc[nH]c23)cc1,0
FC(F)(F)c1ccc2NC3=C(Nc2c1)C(=O)C3=O,1
COc1ccc(cc1OC)C(=O)n2nc(nc2N)c3occc3,0
Clc1ccc(NC(=O)CSc2n[nH]c(n2)c3ccccn3)cc1,0
CSc1ncccc1C(=O)Nc2ccc3OCOc3c2,1
CC(C)(C)OC(=O)NCCNC(=O)c1cccs1,1
Cc1csc2c(SCC(=O)NNC(=O)C(Cl)Cl)ncnc12,1
O=C1N(CCc2ccccc2C#N)C(=O)c3ccccc13,1
COc1ccccc1N2CCN(CC2)C(=O)\C=C\c3cccc(c3)N(=O)=O,0
COc1ccc(\C=N\NC(=O)c2c(C)nc3ccccn23)cc1N(=O)=O,0
CCNC(=O)NC(=O)C(C)OC(=O)CCCc1nc2ccccc2s1,1
NC(=O)CCC1NC(=S)N(Cc2ccccc2)C1=O,1
CC(=Cc1oc2ccc(cc2c1N3CCOCC3)N(=O)=O)C,0
CCOC(=O)c1ccc(NC(=S)Nc2cccc(N)n2)cc1,0
CC(O)C(NS(=O)(=O)c1ccc(NC(=O)C)cc1)C(=O)O,1
CN1N=C(C(=O)NCCOc2ccccc2)c3ccccc3C1=O,1
O=C(CNC(=O)C(c1ccccc1)c2ccccc2)N\N=C\c3cccnc3,0
C=CCN1C=Nc2c(oc3ccccc23)C1=O,1
CCOc1ccccc1NC(=O)COC(=O)C2CCC(=O)N2,1
COc1ccc(cc1)S(=O)(=O)NC(Cc2ccccc2)C(=O)O,1
CN(C(=O)CCN1C(=O)c2ccccc2C1=O)c3ccccc3,1
O=C(CNC(=O)c1ccccc1)N\N=C\C=C\c2ccccc2,0
Cc1c(C=O)c2ccccc2n1CCOc3ccccc3,0
Clc1ccc(Br)cc1C(=O)NC(=S)NN2CCOCC2,1
Fc1ccc(cc1F)C(=O)N2CCCc3ccccc23,1
O=C(CCN1C(=O)c2ccccc2C1=O)NCc3ccccc3,1
COc1ccc2nc(Cl)c(\C=N\Nc3ccccn3)cc2c1,0
CCN(CC)c1ccc(\C=N\NC(=O)c2ccccn2)cc1,1
COC(=O)C(CC(C)C)NC(=O)c1cccs1,1
Oc1ccccc1\C=C(/C#N)\C(=O)Nc2cccnc2,0
COc1ccc(cc1S(=O)(=O)N2CCCc3ccccc23)C(=O)O,1
CC(C)(C)c1cc(CCC(=O)NCc2cccnc2)cc(c1O)C(C)(C)C,1
Cc1cc(C)cc(NC(=O)Nc2cnccn2)c1,0
CCOC(=O)c1c(C)[nH]c(C)c1C(=O)COC(=O)Cc2ccc(OC)c(OC)c2,1
COc1ccc(cc1N(=O)=O)C(=O)NN2CCOCC2,1
NC1=NC2=NC(CC(=O)N2N1)c3ccccc3,1
COc1cccc(c1)C(=O)C2CCCN(C2)C(=O)CCC=C,1
CC(=O)Nc1ccc(NS(=O)(=O)c2cccc3nonc23)cc1,1
CN(C)C(CNC(=O)c1cc(ccc1N(C)C)N(=O)=O)c2occc2,1
CN1CCN(CC1)c2ccc(Cl)cc2NC(=O)\C=C\c3cccc(F)c3,1
O=C(Nc1ccccc1)Nc2ccc3ncoc3c2,1
C\C(=N/NC(=O)c1cccc2ccccc12)\c3ccccn3,1
CC(=O)Oc1ccc(\C=C\C2=Nc3ccccc3C(=O)O2)cc1,0
CC1=C(c2ccc(C)cc2)[N+](=O)C3=C(CCCC3)N1[O-],1
Clc1ccc(NC(=S)NNC(=O)CN2CCOCC2)cc1,1
O=S(=O)(N1CCNCC1)c2ccc(cc2)n3cnnn3,1
CN1C(C2=C(CC(C)(C)CC2=O)N(C)C1=O)c3ccccc3Cl,1
CCc1ccc(NC(=S)N2CCCC(C2)C(F)(F)F)cc1,0
COC(CCN1CCCCC1)(C#C)c2ccccc2,1
CCNC(=O)CC1SC(=Nc2ccc(C)c(c2)N(=O)=O)N(C)C1=O,1
CCC(=O)Nc1ccc2c(c1)ncn2c3ccccc3C,1
Fc1ccc(CCNC(=O)c2cccc(NC(=O)c3ccccc3)c2)cc1,0
Cc1ccc2ccc(cc2c1)S(=O)(=O)NCc3ccccn3,0
CCOC(=O)C1=C(COC(=O)c2ccc(s2)N(=O)=O)NC(=O)NC1C,1
Cc1cc(Cl)c(OCCOCCN2CCNCC2)c(Cl)c1,1
